id,post_date,created_at,uploaded_at,music_file,background,title,description,tags,text1,text2,text3,text4,text5,text6
32,2023-01-31,2023-02-01 23:38:00,2023-02-01 23:43:00,paris.mp3,https://www.pexels.com/video/aerial-footage-of-the-palace-of-culture-and-science-building-in-warsaw-poland-7312218/,Facts but they get more CREEPY every time 😱 (Pt.2),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Facts but they get more CREEPY every time (Pt.2),Crows can recognize and remember human faces.,Climate change is making spiders bigger.,Dogs like squeaky toys because they mimic the screams of their prey.,"Some ants turn into zombies via parasitic fungus which manipulates their brains. It’s called Cordyceps fungi, and affects a lot more than just ants.",
33,2023-02-01,2023-02-01 23:42:00,2023-02-01 23:44:00,paris.mp3,https://www.pexels.com/video/aerial-footage-of-boats-and-tourists-on-the-coast-of-suluada-island-turkey-14482332/,Unbelievable facts you've never heard before,Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Unbelievable facts you've never heard before,You're more likely to be bitten by a New Yorker than a shark.,Pineapples take two years to grow.,"It would take you approximately 18 months to walk all the way along The Great Wall of China. (It’s over 5,000 miles long).","If we kill humans at the same speed we kill animals for food, the entire population would be gone in 17 days.",
34,2023-02-05,2023-02-05 04:17:00,,paris.mp3,https://www.pexels.com/video/drone-footage-of-rice-terraces-on-a-hill-10982929/,Crazy mind-blowing facts you didn't know about (Pt.11),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Crazy mind-blowing facts you didn't know about (Pt.11),"Statistically speaking, you have over 1 million 8th cousins.","Approximately 1 in every 2,000 babies already has a tooth when they are first born.",You can fit the entire population of the human race inside the Grand Canyon.,Canada eats more macaroni and cheese than any other nation in the world.,
35,2023-02-06,2023-02-05 15:43:00,,paris.mp3,https://www.pexels.com/video/cars-on-the-road-15314607/,Mind-blowing facts about the human body (Pt. 2),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",,Mind-blowing facts about the human body (Pt. 2),"Your lips touch when you say ""separate"" but they don't touch when you say ""together"".","Every 10 years, the human skeleton repairs and renews itself. Essentially, you have different bones now than you did 10 years ago!","Only 33% of people can whistle. Everyone has the ability to whistle, it just takes the right technique.",Only 1% of people are ambidextrous - they have no preference of right or left hand.
36,2023-02-07,2023-02-07 04:22:00,,paris.mp3,https://www.pexels.com/video/village-on-lakeshore-13600090/,Crazy mind-blowing facts you didn't know about (Pt.12),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Crazy mind-blowing facts you didn't know about (Pt.12),McDonald's feeds 1% of the world's population daily.,"Snails have over 14,000 teeth! They are actually omnivores, and can eat other animals.",Clinomania is the excessive desire to lay in bed all day.,Bumblebees have hair on their eyes.,
37,2023-02-08,2023-02-07 04:26:00,,paris.mp3,https://www.pexels.com/video/waterfall-on-rock-formations-in-switzerland-13600150/,Unbelievable facts you've never heard before (Planet Edition),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Unbelievable facts you've never heard before (Planet Edition),If the Earth stopped spinning almost everyone would die within 3 seconds.,A sunset on Mars is blue.,90% of the population on Earth lives in the Northern hemisphere.,"The Earth's core is as hot as the Sun's surface! 10,000 degrees F",
38,2023-02-09,2023-02-07 04:14:00,,paris.mp3,https://www.pexels.com/video/drone-footage-of-the-coastal-area-of-cape-town-7108847/,Mind-blowing facts about the human body (Pt. 3),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Mind-blowing facts about the human body (Pt. 3),Human children don't get knee caps until 3 years old.,Nipples on men exist just because the Y chromosome kicks in later than the X.,Your eyes blink around 20 times a minute. That’s over ten million times a year!,"The entire surface of your skin is replaced every month, which put another way means you have about 1,000 different skins in your life!",
39,2023-02-10,2023-02-07 04:16:00,,paris.mp3,https://www.pexels.com/video/drone-footage-of-a-surfer-barrelling-a-wave-12715991/,Mind-blowing facts about the human body (Pt. 4),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Mind-blowing facts about the human body (Pt. 4),"You produce about 40,000 litres of spit in your lifetime. That's enough spit to fill around 500 bathtubs – yuck!",The only muscle that never tires is the heart.,The body has 2.5 million sweat pores.,"Your ears never stop growing. Furthermore, earwax is actually a type of sweat.",
40,2023-02-11,2023-02-11 02:52:00,,paris.mp3,https://www.pexels.com/video/whales-in-the-sea-6959432/,Crazy mind-blowing facts you didn't know about (Pt.13),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Crazy mind-blowing facts you didn't know about (Pt.13),Selfies now cause more deaths than shark attacks per year. The leading cause of selfie-deaths is heights.,Intentionally farting on a California prison guard can get you an additional 11 years in prison.,"Dark chocolate, honey, and eggs can help increase blood flow and reduce depression.",If you stay up all night your body burns an extra 161 calories.,
41,2023-02-12,2023-02-11 02:54:00,,paris.mp3,https://www.pexels.com/video/aerial-footage-of-the-beach-beside-cape-town-7108850/,Unbelievable facts you've never heard before (Pt.2),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Unbelievable facts you've never heard before (Pt.2),"""Wrap rage"" is the common name for heightened levels of frustration when unable to open a package. ",Music has the ability to repair brain damage. It can also help return lost memories.,In 1973 China proposed to give the U.S. 10 million Chinese women to boost population.,Bones are 4 times stronger than concrete.,
42,2023-02-13,2023-02-14 00:09:00,,paris.mp3,https://www.pexels.com/video/drone-footage-of-cliff-beside-the-lake-12344840/,Unbelievable facts you've never heard before (Pt.3),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Unbelievable facts you've never heard before (Pt.3),Good liars are also the good ones at detecting lies from others.,Missing someone and not being able to do anything about it makes people easily annoyed and emotionally frustrated.,85% of people have experienced a dream so real that they were not sure if it happened in real life or not.,Oral health is very important. Bad oral health can lead to infections and even heart problems.,
43,2023-02-14,2023-02-14 00:12:00,,paris.mp3,https://www.pexels.com/video/drone-footage-of-simena-castle-and-kalekoy-village-10643303/,Mind-blowing facts about the human body (Pt. 5),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Mind-blowing facts about the human body (Pt. 5),"Spread across their lifetime, most people spend an average of one whole year sitting on the toilet","If you live to age 70, your heart will have beat around 2.5 billion times!",The average nose produces about a cupful of nasal mucus every day.,"Every minute you shed over 30,000 dead skin cells.",
44,2023-02-15,2023-02-14 20:26:00,,paris.mp3,https://www.pexels.com/video/waterfall-in-lauterbrunnen-13600173/,Crazy mind-blowing facts you didn't know about (Pt.14),Comment which one is your favorite! Mind-blowing facts you should know,"shorts, facts, funfacts, daily facts worth, daily facts shorts, suprising facts, suprising facts complilation, facts compliation",Crazy mind-blowing facts you didn't know about (Pt.14),Many humans have more empathy for dogs than they do for other humans.,The only 15-letter word that can be spelled without repeating a letter is 'uncopyrightable'.,"Having at least one ""lazy day"" per week cen help reduce stress and high blood pressure.",Double stuffed Oreos are actually 1.9 times stuffed - not double!,
45,2023-02-16,,,paris.mp3,,,,,,,,,,
